"name","link","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Price_AMD","Price_USD","externalObjectId","objectType","country","state","city","address","zipcode","phone","photosCount","rankingCategory","objectRank","objectsInCategoryCount","reviewCount","avgScore","certificate","scoreDistribution","languageDistribution","tagcloud"
"""G"" Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8785941-Reviews-G_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",4983,10,"d8785941","Hotel","Armenia","Yerevan","Yerevan","Erebuni.Ulitsa Ai_vazovskogo","0041","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"14th Floor Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d2038096-Reviews-14th_Floor_Hotel-Yerevan.html","Booking.com",90,"1","0","1","0","0","0","0",19911,41,"d2038096","Hotel","Armenia","Yerevan","Yerevan","Amiryan str. 4/6","0010","Missing","105","Hotels in Yerevan","22","82","85","4.5","Certificate of Excellence","['21', '16', '2', '1', '1']","{'English': '41', 'Russian': '38', 'French': '3', 'German': '2', 'Dutch': '1', 'Turkish': '1'}","['reviews', 'mt', 'ararat', 'sewage', 'smell', 'big', 'terrace', 'dried', 'fruit', 'worked', 'perfectly', 'front', 'desk', 'view', 'from', 'the', 'balcony', 'republic', 'square', 'one', 'night', 'room', 'was', 'clean', 'central', 'location', 'recommend', 'this', 'hotel', 'small', 'hotel', 'excellent', 'location', 'great', 'hotel', 'elevator', 'city']"
"2x2 Cinema-Bar Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7318900-Reviews-2x2_Cinema_Bar_Hotel-Yerevan.html","Booking.com",11,"1","0","1","0","0","0","0",25000,52,"d7318900","Hotel","Armenia","Yerevan","Yerevan","Khangyan Street 31","0010","Missing","15","Specialty Lodging in Yerevan","30","281","11","4.5","Missing","['4', '0', '1', '0', '0']","{'English': '5', 'Russian': '4', 'Polish': '2'}","['reviews', 'big', 'lcd', 'tv', 'nina', 'jacuzzi', 'kettle', 'driver', 'taxi', 'breakfast']"
"3/3 Appart Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d15639048-Reviews-3_3_Appart_Hotel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",9990,21,"d15639048","Hotel","Armenia","Yerevan","Yerevan","Bagramyan Marshal ave 3/3","0019","Missing","1","Missing","Missing","Missing","362","Missing","Missing","Missing","Missing","Missing"
"5 Rooms","https://www.tripadvisor.com//Hotel_Review-g293932-d12916039-Reviews-5_Rooms-Yerevan.html","Booking.com",4,"1","0","0","0","0","0","1",13450,28,"d12916039","Hotel","Armenia","Yerevan","Yerevan","21 Gevorg Kochar Street","0009","Missing","11","B&Bs / Inns in Yerevan","41","139","4","4.5","Missing","['0', '0', '1', '0', '0']","{'English': '1', 'Russian': '3'}","Missing"
"5. Element Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",17992,37,"d12455033","Hotel","Armenia","Yerevan","Yerevan","Gai Avenue 57/1","0015","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"5th Floor Guests House Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d12360073-Reviews-5th_Floor_Guests_House_Yerevan-Yerevan.html","Booking.com",5,"0","0","0","0","0","0","0",17708,37,"d12360073","Hotel","Armenia","Yerevan","Yerevan","Vratsyan Street 71","Missing","Missing","8","Specialty Lodging in Yerevan","48","281","5","5","Missing","['3', '0', '0', '0', '0']","{'English': '3', 'Russian': '2'}","Missing"
"Adamyan 11 Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15232919-Reviews-Adamyan_11_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",9990,21,"d15232919","Hotel","Armenia","Yerevan","Yerevan","Petros Adamyan Street 11","0010","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Afina Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d10682113-Reviews-Afina_Hotel-Yerevan.html","Hotels.com",0,"1","0","1","0","0","0","0",19911,41,"d10682113","Hotel","Armenia","Yerevan","Yerevan","Tbilisyan St., 1","Missing","Missing","1","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Albert House","https://www.tripadvisor.com//Hotel_Review-g293932-d8787032-Reviews-Albert_House-Yerevan.html","Booking.com",22,"1","0","1","0","0","0","0",11667,24,"d8787032","Hotel","Armenia","Yerevan","Yerevan","Zavaryan str. 12/1","0018","Missing","34","B&Bs / Inns in Yerevan","17","139","22","Missing","Missing","['15', '5', '1', '1', '0']","{'Russian': '13', 'English': '9'}","Missing"
"Aleppo Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7891055-Reviews-Aleppo_Hotel-Yerevan.html","Booking.com",3,"1","0","1","0","0","0","0",11667,24,"d7891055","Hotel","Armenia","Yerevan","Yerevan","Sebastia Street 10/3","1234","Missing","1","B&Bs / Inns in Yerevan","61","139","3","3.5","Missing","['1', '0', '0', '1', '0']","{'English': '2', 'Italian': '1'}","Missing"
"Alnur Hostel Armenia","https://www.tripadvisor.com//Hotel_Review-g293932-d15352887-Reviews-Alnur_Hostel_Armenia-Yerevan.html","Hotels.com",0,"0","0","0","0","0","0","0",19911,41,"d15352887","Hotel","Armenia","Yerevan","Yerevan","Dro street 4th lane House 15","0069","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Amanz Homestay","https://www.tripadvisor.com//Hotel_Review-g293932-d15339193-Reviews-Amanz_Homestay-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",19911,41,"d15339193","Hotel","Armenia","Yerevan","Yerevan","Nubarashen A3 Distt. 8","0071","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Amber","https://www.tripadvisor.com//Hotel_Review-g293932-d7134404-Reviews-Amber-Yerevan.html","Booking.com",11,"1","0","1","0","0","0","0",15750,33,"d7134404","Hotel","Armenia","Yerevan","Yerevan","Myasnikyana ave 1/6","0025","Missing","26","Hotels in Yerevan","54","82","11","4.5","Missing","['1', '0', '1', '0', '0']","{'English': '2', 'Russian': '9'}","Missing"
"Anahit Stepanyan's B&B","https://www.tripadvisor.com//Hotel_Review-g293932-d2694256-Reviews-Anahit_Stepanyan_s_B_B-Yerevan.html","Booking.com",82,"1","1","0","0","0","0","0",9990,21,"d2694256","Hotel","Armenia","Yerevan","Yerevan","Sayat Novy str. 5/25","0001","Missing","30","B&Bs / Inns in Yerevan","6","139","82","4.5","Missing","['45', '10', '1', '1', '2']","{'English': '59', 'Russian': '8', 'French': '6', 'Italian': '5', 'Japanese': '2', 'Polish': '2', 'German': '1'}","Missing"
"Andrievskie Family House","https://www.tripadvisor.com//Hotel_Review-g293932-d12514320-Reviews-Andrievskie_Family_House-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",20825,43,"d12514320","Hotel","Armenia","Yerevan","Yerevan","Missing","0091","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Ani Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13295220-Reviews-Ani_Hostel-Yerevan.html","Booking.com",7,"1","0","1","0","0","0","0",9989,21,"d13295220","Hotel","Armenia","Yerevan","Yerevan","Tumanyan O. str. 38","0002","Missing","18","Specialty Lodging in Yerevan","134","281","7","Missing","Missing","['2', '0', '2', '0', '3']","{'English': '3', 'Russian': '2', 'Dutch': '1', 'Turkish': '1'}","Missing"
"Ani Plaza Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d308331-Reviews-Ani_Plaza_Hotel-Yerevan.html","Booking.com",461,"1","0","0","1","0","0","0",19911,41,"d308331","Hotel","Armenia","Yerevan","Yerevan","19 Sayat Nova Ave","0001","Missing","327","Hotels in Yerevan","20","82","459","Missing","Missing","['119', '214', '93', '23', '10']","{'English': '202', 'Russian': '123', 'Italian': '49'}","['swimming cap', 'republic square', 'room size', 'sayat nova', 'opera house', 'central location', 'walking distance', 'comfortable hotel', 'on foot', 'rooms are clean', 'excellent location', 'mini bar', 'yerevan city', 'mount ararat', 'floor', 'lobby', 'supermarket', 'cascade', 'exchange', 'conference', 'dram', 'receptionist']"
"Antarayin Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8337672-Reviews-Antarayin_Hotel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",20250,42,"d8337672","Hotel","Armenia","Yerevan","Yerevan","Missing","0025","Missing","10","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Apartaments Tigran Petrosyan 39/5","https://www.tripadvisor.com//Hotel_Review-g293932-d10102091-Reviews-Apartaments_Tigran_Petrosyan_39_5-Yerevan.html","Booking.com",4,"0","0","0","0","0","0","0",8600,18,"d10102091","Hotel","Armenia","Yerevan","Yerevan","Pyetrosyana Tigrana str. 39/5","0054","Missing","Missing","Specialty Lodging in Yerevan","109","281","4","4","Missing","['1', '0', '0', '0', '1']","{'English': '2', 'Russian': '2'}","Missing"
"ApartHotel Arshakunyants","https://www.tripadvisor.com//Hotel_Review-g293932-d11622406-Reviews-ApartHotel_Arshakunyants-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",11667,24,"d11622406","Hotel","Armenia","Yerevan","Yerevan","Arshakunyats ave 11","0023","Missing","Missing","Specialty Lodging in Yerevan","96","281","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Apartments at Pushkin Street","https://www.tripadvisor.com//Hotel_Review-g293932-d6681712-Reviews-Apartments_at_Pushkin_Street-Yerevan.html","Booking.com",1,"0","0","0","0","0","0","0",9167,19,"d6681712","Hotel","Armenia","Yerevan","Yerevan","Pushkina str. 43","0002","Missing","6","Specialty Lodging in Yerevan","114","281","1","5","Missing","['1', '0', '0', '0', '0']","Missing","Missing"
"Apri Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d13493137-Reviews-Apri_Hostel-Yerevan.html","Booking.com",6,"1","0","1","0","0","0","0",10075,21,"d13493137","Hotel","Armenia","Yerevan","Yerevan","prospekt Marshala Bagramyana 3a","0019","Missing","39","Specialty Lodging in Yerevan","44","281","5","5","Missing","['1', '0', '0', '0', '0']","{'English': '1', 'Russian': '3', 'Polish': '1'}","Missing"
"Apricot Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d6557585-Reviews-Apricot_Hostel-Yerevan.html","Booking.com",33,"1","0","1","0","0","0","0",22500,46,"d6557585","Hotel","Armenia","Yerevan","Yerevan","Kajaznuni Street 14 4","0013","Missing","22","Specialty Lodging in Yerevan","22","281","33","4.5","Missing","['11', '1', '1', '0', '0']","{'English': '13', 'Russian': '15', 'German': '2', 'French': '1', 'Hungarian': '1', 'Japanese': '1'}","Missing"
"Aquatek Resort and SPA","https://www.tripadvisor.com//Hotel_Review-g293932-d2288712-Reviews-Aquatek_Resort_and_SPA-Yerevan.html","Booking.com",35,"1","0","1","0","0","0","0",24148,50,"d2288712","Hotel","Armenia","Yerevan","Yerevan","Myasnikyana ave 40/2","0025","Missing","72","B&Bs / Inns in Yerevan","46","139","35","3.5","Missing","['4', '3', '2', '5', '2']","{'English': '16', 'Russian': '16', 'Arabic': '1', 'French': '1', 'Spanish': '1'}","['reviews', 'water', 'world', 'fitness', 'center', 'room', 'service', 'disadvantage', 'amd']"
"Ararat hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d308332-Reviews-Ararat_hotel-Yerevan.html","Booking.com",95,"1","0","1","0","0","0","0",31667,65,"d308332","Hotel","Armenia","Yerevan","Yerevan","Lusavorich G. str. 7","0015","Missing","69","Hotels in Yerevan","57","82","93","Missing","Missing","['21', '26', '26', '10', '10']","{'English': '64', 'Russian': '23', 'French': '3'}","['eden garden', 'republic square', 'great room', 'kind staff', 'the hotel staff', 'non smoking', 'special thanks', 'clean rooms', 'atrium', 'receptionist', 'ararat', 'minibar']"
"Areg Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d1137158-Reviews-Areg_Hotel-Yerevan.html","Booking.com",122,"1","0","1","0","0","0","0",17156,35,"d1137158","Hotel","Armenia","Yerevan","Yerevan","Burnazyan str. 80","0005","Missing","88","Hotels in Yerevan","24","82","122","4.5","Missing","['46', '22', '5', '2', '3']","{'English': '78', 'Russian': '28', 'French': '5', 'Italian': '4', 'German': '2', 'Japanese': '2', 'Swedish': '2', 'Polish': '1', 'Spanish': '1'}","Missing"
"Areve Residence Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12135475-Reviews-Areve_Residence_Boutique_Hotel-Yerevan.html","Booking.com",26,"1","0","1","0","0","0","0",15000,31,"d12135475","Hotel","Armenia","Yerevan","Yerevan","16, 13 street, Nork Marash","0047","Missing","55","Hotels in Yerevan","38","82","26","Missing","Missing","['21', '3', '1', '0', '1']","{'English': '18', 'Russian': '3', 'Finnish': '1'}","['la fayette', 'beautiful hotel', 'nice breakfast', 'city centre', 'taxi', 'driver', 'reception', 'tours']"
"Argavand Hotel & Restaurant Complex","https://www.tripadvisor.com//Hotel_Review-g293932-d7930468-Reviews-Argavand_Hotel_Restaurant_Complex-Yerevan.html","Booking.com",2,"0","0","0","0","0","0","0",8333,17,"d7930468","Hotel","Armenia","Yerevan","Yerevan","Str. Tsovakal Isakov 81/4","0082","Missing","Missing","B&Bs / Inns in Yerevan","66","139","2","3.5","Missing","['0', '0', '1', '0', '0']","{'English': '1', 'German': '1'}","Missing"
"Arm Home","https://www.tripadvisor.com//Hotel_Review-g293932-d13848431-Reviews-Arm_Home-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",15417,32,"d13848431","Hotel","Armenia","Yerevan","Yerevan","Glinka str. 9","0005","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Arm Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d10052301-Reviews-Arm_Hostel-Yerevan.html","Booking.com",18,"1","1","0","0","0","0","0",13260,27,"d10052301","Hotel","Armenia","Yerevan","Yerevan","Mashtots 29,10/1","0002","Missing","41","Specialty Lodging in Yerevan","40","281","18","4","Missing","['5', '1', '0', '0', '1']","{'English': '7', 'Russian': '7', 'Arabic': '2', 'Dutch': '1', 'Polish': '1'}","Missing"
"Armenia De Luxe","https://www.tripadvisor.com//Hotel_Review-g293932-d12564826-Reviews-Armenia_De_Luxe-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",11083,23,"d12564826","Hotel","Armenia","Yerevan","Yerevan","155 Sebastia Street","68","Missing","1","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Armenia Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d3869569-Reviews-Armenia_Hostel-Yerevan.html","Booking.com",25,"1","0","1","0","0","0","0",11667,24,"d3869569","Hotel","Armenia","Yerevan","Yerevan","Moldovakan St., 29/6-3","0096","Missing","76","Specialty Lodging in Yerevan","32","281","25","Missing","Missing","['17', '4', '2', '1', '1']","{'English': '13', 'Russian': '11', 'Portuguese': '1'}","Missing"
"Armenia Marriott Hotel Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d299732-Reviews-Armenia_Marriott_Hotel_Yerevan-Yerevan.html","Marriott Hotels",791,"0","0","1","0","1","0","1",36000,74,"d299732","Hotel","Armenia","Yerevan","Yerevan","1 Amiryan Street","0010","00 1 844-631-0595","479","Hotels in Yerevan","16","82","784","4","Certificate of Excellence","['195', '161', '83', '11', '17']","{'English': '467', 'Russian': '220', 'French': '35', 'Italian': '19', 'German': '16', 'Portuguese': '10', 'Spanish': '5', 'Arabic': '3', 'Dutch': '3', 'Turkish': '2', 'Finnish': '1', 'Greek': '1', 'Indonesian': '1', 'Japanese': '1', 'Korean': '1', 'Polish': '1'}","['reviews', 'the', 'executive', 'lounge', 'beau', 'monde', 'republic', 'square', 'meeting', 'point', 'outdoor', 'cafe', 'fountain', 'show', 'an', 'upgrade', 'new', 'wing', 'hot', 'and', 'cold', 'food', 'needs', 'renovation', 'the', 'main', 'square', 'excellent', 'location', 'business', 'trip', 'history', 'museum', 'lobby', 'bar', 'rooms', 'are', 'spacious', 'central', 'location']"
"Armeniainn","https://www.tripadvisor.com//Hotel_Review-g293932-d13376306-Reviews-Armeniainn-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",23333,48,"d13376306","Hotel","Armenia","Yerevan","Yerevan","Lyeningradyan str. 48/3","0031","Missing","Missing","Missing","Missing","Missing","362","Missing","Missing","Missing","Missing","Missing"
"Armenian Royal Palace Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d1200811-Reviews-Armenian_Royal_Palace_Hotel-Yerevan.html","Expedia.com",53,"1","0","1","0","0","0","0",25453,53,"d1200811","Hotel","Armenia","Yerevan","Yerevan","4-th St., 17/1","0029","Missing","287","Hotels in Yerevan","60","82","53","3.5","Missing","['16', '2', '5', '2', '5']","{'English': '30', 'Russian': '11', 'Polish': '5', 'Italian': '4', 'Dutch': '1', 'French': '1', 'German': '1', 'Spanish': '1'}","Missing"
"Armino Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15217747-Reviews-Armino_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",9908,20,"d15217747","Hotel","Armenia","Yerevan","Yerevan","Charyentsa str.","0025","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Art Guesthouse Qanaqer","https://www.tripadvisor.com//Hotel_Review-g293932-d12381405-Reviews-Art_Guesthouse_Qanaqer-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",6658,14,"d12381405","Hotel","Armenia","Yerevan","Yerevan","24 Tbilisyan Highway","0091","Missing","Missing","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Art Guesthouse Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d12269676-Reviews-Art_Guesthouse_Yerevan-Yerevan.html","Booking.com",2,"1","0","0","0","0","0","0",10825,22,"d12269676","Hotel","Armenia","Yerevan","Yerevan","Bagramyan Marshal ave 57","0033","Missing","2","Specialty Lodging in Yerevan","81","281","2","4.5","Missing","['1', '1', '0', '0', '0']","{'English': '2'}","Missing"
"Art Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8112220-Reviews-Art_Hotel-Yerevan.html","Booking.com",40,"1","0","1","0","0","0","0",18333,38,"d8112220","Hotel","Armenia","Yerevan","Yerevan","Zavaryan str. 173","0070","Missing","53","B&Bs / Inns in Yerevan","14","139","37","4.5","Missing","['9', '2', '2', '0', '1']","{'English': '14', 'Russian': '19', 'French': '2', 'Japanese': '1', 'Spanish': '1'}","Missing"
"ArtEast Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15014443-Reviews-ArtEast_Hostel-Yerevan.html","Booking.com",2,"1","0","1","0","0","0","0",9990,21,"d15014443","Hotel","Armenia","Yerevan","Yerevan","Aygyestan 9 str. 32/1,","0025","Missing","49","Specialty Lodging in Yerevan","88","281","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Arthurs Aghveran Resort","https://www.tripadvisor.com//Hotel_Review-g293932-d817383-Reviews-Arthurs_Aghveran_Resort-Yerevan.html","Agoda.com",90,"1","0","1","0","0","0","0",16542,34,"d817383","Hotel","Armenia","Yerevan","Yerevan","Aghveran Recreation Area","0001","Missing","130","Hotels in Yerevan","29","82","87","4.5","Missing","['30', '13', '4', '3', '3']","{'English': '53', 'Russian': '34', 'German': '2', 'French': '1'}","['reviews', 'indoor', 'pool', 'wonderful', 'hosts', 'professional', 'staff', 'rooms', 'are', 'big', 'room', 'service', 'billiards', 'balcony', 'seminar', 'facilities', 'sauna', 'housekeeping', 'comfort']"
"Arvasar","https://www.tripadvisor.com//Hotel_Review-g293932-d7626542-Reviews-Arvasar-Yerevan.html","Hotels.com",0,"1","0","1","0","0","0","0",19911,41,"d7626542","Hotel","Armenia","Yerevan","Yerevan","Tichina Pavlo str. 300/1","0065","Missing","1","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Arzni Sanatorium","https://www.tripadvisor.com//Hotel_Review-g293932-d6475446-Reviews-Arzni_Sanatorium-Yerevan.html","Expedia.com",10,"0","0","0","0","0","0","0",40000,83,"d6475446","Hotel","Armenia","Yerevan","Yerevan","Arzni village","2212","Missing","30","Specialty Lodging in Yerevan","47","281","10","4","Missing","['1', '0', '1', '0', '0']","{'English': '2', 'Russian': '8'}","Missing"
"As Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12440134-Reviews-As_Hostel-Yerevan.html","Booking.com",0,"1","0","1","0","0","0","0",19911,41,"d12440134","Hotel","Armenia","Yerevan","Yerevan","Admirala Isakova Ave., 4/7","0082","Missing","1","Missing","Missing","Missing","679","Missing","Missing","Missing","Missing","Missing"
"Ask House","https://www.tripadvisor.com//Hotel_Review-g293932-d11630031-Reviews-Ask_House-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",15417,32,"d11630031","Hotel","Armenia","Yerevan","Yerevan","Arshakunyats ave 2/2","0023","Missing","1","Specialty Lodging in Yerevan","102","281","1","5","Missing","['1', '0', '0', '0', '0']","{'English': '1'}","Missing"
"Aura Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7257619-Reviews-Aura_Hotel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",14875,31,"d7257619","Hotel","Armenia","Yerevan","Yerevan","Gribayedov str. 23","0051","Missing","Missing","Missing","Missing","Missing","237","Missing","Missing","Missing","Missing","Missing"
"Avan Plaza","https://www.tripadvisor.com//Hotel_Review-g293932-d10205943-Reviews-Avan_Plaza-Yerevan.html","Expedia.com",0,"1","0","1","0","0","0","0",187020,386,"d10205943","Hotel","Armenia","Yerevan","Yerevan","Gay ave 1/8","0096","Missing","13","Missing","Missing","Missing","105","Missing","Missing","Missing","Missing","Missing"
"Avant Garde Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d6402212-Reviews-Avant_Garde_Hotel-Yerevan.html","Expedia.com",2,"1","0","0","1","0","0","0",34913,72,"d6402212","Hotel","Armenia","Yerevan","Yerevan","Bldg. 8 Acharyan str.","0040","Missing","4","B&Bs / Inns in Yerevan","52","139","2","4.5","Missing","['1', '0', '0', '0', '0']","{'English': '1', 'Russian': '1'}","Missing"
"Avenue Guest House","https://www.tripadvisor.com//Hotel_Review-g293932-d8733895-Reviews-Avenue_Guest_House-Yerevan.html","Booking.com",0,"1","0","0","0","0","0","0",12492,26,"d8733895","Hotel","Armenia","Yerevan","Yerevan","Tyer'yana str. 3-31","0010","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Aviatrans","https://www.tripadvisor.com//Hotel_Review-g293932-d308337-Reviews-Aviatrans-Yerevan.html","Booking.com",170,"1","0","1","0","0","0","0",28667,59,"d308337","Hotel","Armenia","Yerevan","Yerevan","Abovyan str. 4","0010","Missing","61","Hotels in Yerevan","28","82","164","4","Missing","['23', '35', '17', '3', '6']","{'English': '84', 'Russian': '47', 'German': '11', 'Italian': '8', 'French': '7', 'Swedish': '3', 'Spanish': '2', 'Danish': '1', 'Dutch': '1', 'Turkish': '1'}","['reviews', 'abovyan', 'street', 'great', 'location', 'republic', 'square', 'would', 'stay', 'here', 'again', 'vernissage', 'market', 'northern', 'avenue', 'walking', 'distance', 'mini', 'bar', 'freedom', 'square', 'hotel', 'is', 'located', 'i', 'highly', 'recommend', 'this', 'hotel', 'nice', 'breakfast', 'clean', 'rooms', 'city', 'maintenance', 'wardrobe', 'taxi']"
"Azoyan Guest House","https://www.tripadvisor.com//Hotel_Review-g293932-d6648449-Reviews-Azoyan_Guest_House-Yerevan.html","Booking.com",70,"1","0","0","0","0","0","0",30000,62,"d6648449","Hotel","Armenia","Yerevan","Yerevan","Anrapyetutsyan str. 32","0010","Missing","52","B&Bs / Inns in Yerevan","1","139","70","5","Certificate of Excellence","['37', '1', '0', '0', '0']","{'English': '38', 'Russian': '28', 'German': '3', 'Dutch': '1', 'Japanese': '1'}","['reviews', 'three', 'rooms', 'french', 'room', 'green', 'room', 'including', 'beer', 'place', 'to', 'stay', 'few', 'meters', 'visit', 'yerevan', 'rooms', 'are', 'spacious', 'triple', 'room', 'republic', 'square', 'airport', 'transfer', 'yogurt', 'special', 'thanks', 'central', 'location', 'excellent', 'location', 'guesthouse', 'fridge']"
"B&B Aida Yerevan","https://www.tripadvisor.com//Hotel_Review-g293932-d12996023-Reviews-B_B_Aida_Yerevan-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",7990,17,"d12996023","Hotel","Armenia","Yerevan","Yerevan","Halabyan Street","0038","Missing","Missing","Missing","Missing","Missing","362","Missing","Missing","Missing","Missing","Missing"
"B&B Sunset","https://www.tripadvisor.com//Hotel_Review-g293932-d3514269-Reviews-B_B_Sunset-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",19911,41,"d3514269","Hotel","Armenia","Yerevan","Yerevan","Komitas ave 65","0014","Missing","Missing","Missing","Missing","Missing","127","Missing","Missing","Missing","Missing","Missing"
"B1 Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d12989412-Reviews-B1_Hostel-Yerevan.html","Booking.com",1,"1","0","1","0","0","0","0",14990,31,"d12989412","Hotel","Armenia","Yerevan","Yerevan","Nalbandyan str. 19/1","0010","Missing","4","Specialty Lodging in Yerevan","118","281","1","4","Missing","['0', '1', '0', '0', '0']","Missing","Missing"
"Balcon Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d12462488-Reviews-Balcon_Boutique_Hotel-Yerevan.html","Booking.com",7,"1","0","1","0","0","0","0",20825,43,"d12462488","Hotel","Armenia","Yerevan","Yerevan","Amiryan str. 8","0010","Missing","13","Specialty Lodging in Yerevan","75","281","7","3.5","Missing","['1', '0', '0', '0', '0']","{'English': '1', 'Russian': '4', 'French': '1', 'Spanish': '1'}","Missing"
"Balcony Villa Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d7022258-Reviews-Balcony_Villa_Hostel-Yerevan.html","Booking.com",11,"1","0","1","0","0","0","0",11667,24,"d7022258","Hotel","Armenia","Yerevan","Yerevan","Hovsep Emin Street 3/1","0033","Missing","3","Specialty Lodging in Yerevan","38","281","11","Missing","Missing","['10', '0', '1', '0', '0']","{'English': '7', 'French': '2', 'Russian': '2'}","['emma']"
"Bampy Hostel","https://www.tripadvisor.com//Hotel_Review-g293932-d15221325-Reviews-Bampy_Hostel-Yerevan.html","Booking.com",0,"0","0","0","0","0","0","0",16667,34,"d15221325","Hotel","Armenia","Yerevan","Yerevan","45 Movses Khorenatsi Street","0018","Missing","Missing","Missing","Missing","Missing","459","Missing","Missing","Missing","Missing","Missing"
"Bass Boutique Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d308335-Reviews-Bass_Boutique_Hotel-Yerevan.html","Booking.com",108,"1","0","1","0","0","0","0",19608,41,"d308335","Hotel","Armenia","Yerevan","Yerevan","Aygyedzor 3/1","0019","Missing","71","Hotels in Yerevan","31","82","106","4","Certificate of Excellence","['21', '17', '1', '2', '2']","{'English': '43', 'Russian': '51', 'Italian': '5', 'Dutch': '3', 'French': '3', 'Danish': '1', 'German': '1', 'Japanese': '1'}","['reviews', 'bass', 'american', 'university', 'wifi', 'works', 'enjoyed', 'our', 'stay', 'metro', 'station', 'rooms', 'are', 'small', 'nice', 'hotel', 'choose', 'this', 'hotel', 'business', 'trip', 'recommend', 'this', 'hotel', 'airport', 'ararat', 'taxi', 'personnel', 'city', 'sofa', 'supermarket']"
